"Notes"	"Residence County"	"Residence County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths
	"Marshall County, MS"	"28093"	"65-74 years"	"65-74"	29
	"Monroe County, MS"	"28095"	"55-64 years"	"55-64"	28
	"Monroe County, MS"	"28095"	"65-74 years"	"65-74"	33
	"Neshoba County, MS"	"28099"	"45-54 years"	"45-54"	18
	"Neshoba County, MS"	"28099"	"55-64 years"	"55-64"	19
	"Neshoba County, MS"	"28099"	"65-74 years"	"65-74"	38
	"Newton County, MS"	"28101"	"45-54 years"	"45-54"	10
	"Newton County, MS"	"28101"	"55-64 years"	"55-64"	21
	"Newton County, MS"	"28101"	"65-74 years"	"65-74"	15
	"Oktibbeha County, MS"	"28105"	"45-54 years"	"45-54"	10
	"Oktibbeha County, MS"	"28105"	"55-64 years"	"55-64"	16
	"Oktibbeha County, MS"	"28105"	"65-74 years"	"65-74"	30
	"Panola County, MS"	"28107"	"45-54 years"	"45-54"	11
	"Panola County, MS"	"28107"	"55-64 years"	"55-64"	29
	"Panola County, MS"	"28107"	"65-74 years"	"65-74"	38
	"Pearl River County, MS"	"28109"	"45-54 years"	"45-54"	16
	"Pearl River County, MS"	"28109"	"55-64 years"	"55-64"	37
	"Pearl River County, MS"	"28109"	"65-74 years"	"65-74"	54
	"Pike County, MS"	"28113"	"45-54 years"	"45-54"	21
	"Pike County, MS"	"28113"	"55-64 years"	"55-64"	33
	"Pike County, MS"	"28113"	"65-74 years"	"65-74"	51
	"Pontotoc County, MS"	"28115"	"55-64 years"	"55-64"	13
	"Pontotoc County, MS"	"28115"	"65-74 years"	"65-74"	20
	"Prentiss County, MS"	"28117"	"45-54 years"	"45-54"	12
	"Prentiss County, MS"	"28117"	"55-64 years"	"55-64"	14
	"Prentiss County, MS"	"28117"	"65-74 years"	"65-74"	20
	"Rankin County, MS"	"28121"	"45-54 years"	"45-54"	20
	"Rankin County, MS"	"28121"	"55-64 years"	"55-64"	71
	"Rankin County, MS"	"28121"	"65-74 years"	"65-74"	102
	"Scott County, MS"	"28123"	"45-54 years"	"45-54"	10
	"Scott County, MS"	"28123"	"55-64 years"	"55-64"	11
	"Scott County, MS"	"28123"	"65-74 years"	"65-74"	26
	"Simpson County, MS"	"28127"	"55-64 years"	"55-64"	17
	"Simpson County, MS"	"28127"	"65-74 years"	"65-74"	31
	"Smith County, MS"	"28129"	"65-74 years"	"65-74"	16
	"Stone County, MS"	"28131"	"55-64 years"	"55-64"	17
	"Stone County, MS"	"28131"	"65-74 years"	"65-74"	13
	"Sunflower County, MS"	"28133"	"45-54 years"	"45-54"	11
	"Sunflower County, MS"	"28133"	"55-64 years"	"55-64"	13
	"Sunflower County, MS"	"28133"	"65-74 years"	"65-74"	29
	"Tate County, MS"	"28137"	"55-64 years"	"55-64"	20
	"Tate County, MS"	"28137"	"65-74 years"	"65-74"	31
	"Tippah County, MS"	"28139"	"65-74 years"	"65-74"	33
	"Tishomingo County, MS"	"28141"	"55-64 years"	"55-64"	15
	"Tishomingo County, MS"	"28141"	"65-74 years"	"65-74"	26
	"Union County, MS"	"28145"	"55-64 years"	"55-64"	17
	"Union County, MS"	"28145"	"65-74 years"	"65-74"	21
	"Walthall County, MS"	"28147"	"55-64 years"	"55-64"	12
	"Walthall County, MS"	"28147"	"65-74 years"	"65-74"	14
	"Warren County, MS"	"28149"	"45-54 years"	"45-54"	15
	"Warren County, MS"	"28149"	"55-64 years"	"55-64"	25
	"Warren County, MS"	"28149"	"65-74 years"	"65-74"	50
	"Washington County, MS"	"28151"	"45-54 years"	"45-54"	10
	"Washington County, MS"	"28151"	"55-64 years"	"55-64"	22
	"Washington County, MS"	"28151"	"65-74 years"	"65-74"	49
	"Wayne County, MS"	"28153"	"55-64 years"	"55-64"	20
	"Wayne County, MS"	"28153"	"65-74 years"	"65-74"	17
	"Wilkinson County, MS"	"28157"	"55-64 years"	"55-64"	10
	"Winston County, MS"	"28159"	"65-74 years"	"65-74"	18
	"Yalobusha County, MS"	"28161"	"55-64 years"	"55-64"	11
	"Yalobusha County, MS"	"28161"	"65-74 years"	"65-74"	12
	"Yazoo County, MS"	"28163"	"55-64 years"	"55-64"	13
	"Yazoo County, MS"	"28163"	"65-74 years"	"65-74"	18
	"Adair County, MO"	"29001"	"65-74 years"	"65-74"	13
	"Andrew County, MO"	"29003"	"65-74 years"	"65-74"	10
	"Audrain County, MO"	"29007"	"55-64 years"	"55-64"	13
	"Audrain County, MO"	"29007"	"65-74 years"	"65-74"	24
	"Barry County, MO"	"29009"	"45-54 years"	"45-54"	12
	"Barry County, MO"	"29009"	"55-64 years"	"55-64"	23
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	32
	"Bates County, MO"	"29013"	"65-74 years"	"65-74"	14
	"Benton County, MO"	"29015"	"55-64 years"	"55-64"	14
	"Benton County, MO"	"29015"	"65-74 years"	"65-74"	24
	"Boone County, MO"	"29019"	"45-54 years"	"45-54"	20
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	58
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	70
	"Buchanan County, MO"	"29021"	"45-54 years"	"45-54"	18
	"Buchanan County, MO"	"29021"	"55-64 years"	"55-64"	32
	"Buchanan County, MO"	"29021"	"65-74 years"	"65-74"	76
	"Butler County, MO"	"29023"	"45-54 years"	"45-54"	12
	"Butler County, MO"	"29023"	"55-64 years"	"55-64"	31
	"Butler County, MO"	"29023"	"65-74 years"	"65-74"	40
	"Callaway County, MO"	"29027"	"45-54 years"	"45-54"	11
	"Callaway County, MO"	"29027"	"55-64 years"	"55-64"	17
	"Callaway County, MO"	"29027"	"65-74 years"	"65-74"	39
	"Camden County, MO"	"29029"	"55-64 years"	"55-64"	20
	"Camden County, MO"	"29029"	"65-74 years"	"65-74"	40
	"Cape Girardeau County, MO"	"29031"	"55-64 years"	"55-64"	32
	"Cape Girardeau County, MO"	"29031"	"65-74 years"	"65-74"	44
	"Cass County, MO"	"29037"	"45-54 years"	"45-54"	14
	"Cass County, MO"	"29037"	"55-64 years"	"55-64"	38
	"Cass County, MO"	"29037"	"65-74 years"	"65-74"	53
	"Cedar County, MO"	"29039"	"65-74 years"	"65-74"	13
	"Christian County, MO"	"29043"	"45-54 years"	"45-54"	13
	"Christian County, MO"	"29043"	"55-64 years"	"55-64"	23
	"Christian County, MO"	"29043"	"65-74 years"	"65-74"	47
	"Clay County, MO"	"29047"	"35-44 years"	"35-44"	16
	"Clay County, MO"	"29047"	"45-54 years"	"45-54"	23
	"Clay County, MO"	"29047"	"55-64 years"	"55-64"	75
	"Clay County, MO"	"29047"	"65-74 years"	"65-74"	120
	"Clinton County, MO"	"29049"	"55-64 years"	"55-64"	10
	"Clinton County, MO"	"29049"	"65-74 years"	"65-74"	13
	"Cole County, MO"	"29051"	"45-54 years"	"45-54"	11
	"Cole County, MO"	"29051"	"55-64 years"	"55-64"	40
	"Cole County, MO"	"29051"	"65-74 years"	"65-74"	58
	"Cooper County, MO"	"29053"	"65-74 years"	"65-74"	15
	"Crawford County, MO"	"29055"	"55-64 years"	"55-64"	17
	"Crawford County, MO"	"29055"	"65-74 years"	"65-74"	28
	"Dade County, MO"	"29057"	"65-74 years"	"65-74"	14
	"Dallas County, MO"	"29059"	"65-74 years"	"65-74"	14
	"DeKalb County, MO"	"29063"	"65-74 years"	"65-74"	10
	"Dent County, MO"	"29065"	"65-74 years"	"65-74"	16
	"Douglas County, MO"	"29067"	"55-64 years"	"55-64"	12
	"Douglas County, MO"	"29067"	"65-74 years"	"65-74"	21
	"Dunklin County, MO"	"29069"	"45-54 years"	"45-54"	15
	"Dunklin County, MO"	"29069"	"55-64 years"	"55-64"	22
	"Dunklin County, MO"	"29069"	"65-74 years"	"65-74"	30
	"Franklin County, MO"	"29071"	"45-54 years"	"45-54"	15
	"Franklin County, MO"	"29071"	"55-64 years"	"55-64"	41
	"Franklin County, MO"	"29071"	"65-74 years"	"65-74"	91
	"Gasconade County, MO"	"29073"	"55-64 years"	"55-64"	12
	"Gasconade County, MO"	"29073"	"65-74 years"	"65-74"	15
	"Greene County, MO"	"29077"	"35-44 years"	"35-44"	22
	"Greene County, MO"	"29077"	"45-54 years"	"45-54"	36
	"Greene County, MO"	"29077"	"55-64 years"	"55-64"	153
	"Greene County, MO"	"29077"	"65-74 years"	"65-74"	194
	"Henry County, MO"	"29083"	"55-64 years"	"55-64"	15
	"Henry County, MO"	"29083"	"65-74 years"	"65-74"	18
	"Hickory County, MO"	"29085"	"65-74 years"	"65-74"	12
	"Howell County, MO"	"29091"	"55-64 years"	"55-64"	21
	"Howell County, MO"	"29091"	"65-74 years"	"65-74"	46
	"Iron County, MO"	"29093"	"65-74 years"	"65-74"	15
	"Jackson County, MO"	"29095"	"35-44 years"	"35-44"	42
	"Jackson County, MO"	"29095"	"45-54 years"	"45-54"	110
	"Jackson County, MO"	"29095"	"55-64 years"	"55-64"	309
	"Jackson County, MO"	"29095"	"65-74 years"	"65-74"	465
	"Jasper County, MO"	"29097"	"35-44 years"	"35-44"	11
	"Jasper County, MO"	"29097"	"45-54 years"	"45-54"	20
	"Jasper County, MO"	"29097"	"55-64 years"	"55-64"	62
	"Jasper County, MO"	"29097"	"65-74 years"	"65-74"	91
	"Jefferson County, MO"	"29099"	"35-44 years"	"35-44"	16
	"Jefferson County, MO"	"29099"	"45-54 years"	"45-54"	21
	"Jefferson County, MO"	"29099"	"55-64 years"	"55-64"	104
	"Jefferson County, MO"	"29099"	"65-74 years"	"65-74"	135
	"Johnson County, MO"	"29101"	"55-64 years"	"55-64"	20
	"Johnson County, MO"	"29101"	"65-74 years"	"65-74"	31
	"Laclede County, MO"	"29105"	"55-64 years"	"55-64"	35
	"Laclede County, MO"	"29105"	"65-74 years"	"65-74"	34
	"Lafayette County, MO"	"29107"	"65-74 years"	"65-74"	23
	"Lawrence County, MO"	"29109"	"55-64 years"	"55-64"	16
	"Lawrence County, MO"	"29109"	"65-74 years"	"65-74"	31
	"Lewis County, MO"	"29111"	"65-74 years"	"65-74"	11
	"Lincoln County, MO"	"29113"	"55-64 years"	"55-64"	23
	"Lincoln County, MO"	"29113"	"65-74 years"	"65-74"	37
	"Linn County, MO"	"29115"	"55-64 years"	"55-64"	12
	"Livingston County, MO"	"29117"	"65-74 years"	"65-74"	13
	"McDonald County, MO"	"29119"	"55-64 years"	"55-64"	18
	"McDonald County, MO"	"29119"	"65-74 years"	"65-74"	16
	"Macon County, MO"	"29121"	"55-64 years"	"55-64"	13
	"Macon County, MO"	"29121"	"65-74 years"	"65-74"	15
	"Madison County, MO"	"29123"	"55-64 years"	"55-64"	13
	"Madison County, MO"	"29123"	"65-74 years"	"65-74"	10
	"Marion County, MO"	"29127"	"55-64 years"	"55-64"	14
	"Marion County, MO"	"29127"	"65-74 years"	"65-74"	21
	"Miller County, MO"	"29131"	"55-64 years"	"55-64"	14
	"Miller County, MO"	"29131"	"65-74 years"	"65-74"	19
	"Mississippi County, MO"	"29133"	"45-54 years"	"45-54"	11
	"Mississippi County, MO"	"29133"	"55-64 years"	"55-64"	12
	"Mississippi County, MO"	"29133"	"65-74 years"	"65-74"	15
	"Moniteau County, MO"	"29135"	"65-74 years"	"65-74"	14
	"Monroe County, MO"	"29137"	"65-74 years"	"65-74"	10
	"Montgomery County, MO"	"29139"	"65-74 years"	"65-74"	16
	"Morgan County, MO"	"29141"	"55-64 years"	"55-64"	11
	"Morgan County, MO"	"29141"	"65-74 years"	"65-74"	23
	"New Madrid County, MO"	"29143"	"55-64 years"	"55-64"	12
	"New Madrid County, MO"	"29143"	"65-74 years"	"65-74"	24
	"Newton County, MO"	"29145"	"45-54 years"	"45-54"	12
	"Newton County, MO"	"29145"	"55-64 years"	"55-64"	36
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	51
	"Oregon County, MO"	"29149"	"65-74 years"	"65-74"	16
	"Pemiscot County, MO"	"29155"	"55-64 years"	"55-64"	20
	"Pemiscot County, MO"	"29155"	"65-74 years"	"65-74"	31
	"Perry County, MO"	"29157"	"65-74 years"	"65-74"	14
	"Pettis County, MO"	"29159"	"45-54 years"	"45-54"	11
	"Pettis County, MO"	"29159"	"55-64 years"	"55-64"	29
	"Pettis County, MO"	"29159"	"65-74 years"	"65-74"	25
	"Phelps County, MO"	"29161"	"55-64 years"	"55-64"	19
	"Phelps County, MO"	"29161"	"65-74 years"	"65-74"	27
	"Pike County, MO"	"29163"	"65-74 years"	"65-74"	13
	"Platte County, MO"	"29165"	"55-64 years"	"55-64"	37
	"Platte County, MO"	"29165"	"65-74 years"	"65-74"	60
	"Polk County, MO"	"29167"	"55-64 years"	"55-64"	11
	"Polk County, MO"	"29167"	"65-74 years"	"65-74"	23
	"Pulaski County, MO"	"29169"	"65-74 years"	"65-74"	21
	"Ralls County, MO"	"29173"	"65-74 years"	"65-74"	12
	"Randolph County, MO"	"29175"	"55-64 years"	"55-64"	12
	"Randolph County, MO"	"29175"	"65-74 years"	"65-74"	28
	"Ray County, MO"	"29177"	"55-64 years"	"55-64"	14
	"Ray County, MO"	"29177"	"65-74 years"	"65-74"	12
	"Ripley County, MO"	"29181"	"55-64 years"	"55-64"	11
	"Ripley County, MO"	"29181"	"65-74 years"	"65-74"	25
	"St. Charles County, MO"	"29183"	"35-44 years"	"35-44"	16
	"St. Charles County, MO"	"29183"	"45-54 years"	"45-54"	42
	"St. Charles County, MO"	"29183"	"55-64 years"	"55-64"	101
	"St. Charles County, MO"	"29183"	"65-74 years"	"65-74"	184
	"St. Clair County, MO"	"29185"	"55-64 years"	"55-64"	10
	"St. Clair County, MO"	"29185"	"65-74 years"	"65-74"	12
	"Ste. Genevieve County, MO"	"29186"	"65-74 years"	"65-74"	15
	"St. Francois County, MO"	"29187"	"45-54 years"	"45-54"	13
	"St. Francois County, MO"	"29187"	"55-64 years"	"55-64"	41
	"St. Francois County, MO"	"29187"	"65-74 years"	"65-74"	54
	"St. Louis County, MO"	"29189"	"35-44 years"	"35-44"	45
	"St. Louis County, MO"	"29189"	"45-54 years"	"45-54"	114
	"St. Louis County, MO"	"29189"	"55-64 years"	"55-64"	375
	"St. Louis County, MO"	"29189"	"65-74 years"	"65-74"	626
	"Saline County, MO"	"29195"	"65-74 years"	"65-74"	21
	"Scott County, MO"	"29201"	"45-54 years"	"45-54"	12
	"Scott County, MO"	"29201"	"55-64 years"	"55-64"	40
	"Scott County, MO"	"29201"	"65-74 years"	"65-74"	43
	"Stoddard County, MO"	"29207"	"45-54 years"	"45-54"	11
	"Stoddard County, MO"	"29207"	"55-64 years"	"55-64"	16
	"Stoddard County, MO"	"29207"	"65-74 years"	"65-74"	33
	"Stone County, MO"	"29209"	"45-54 years"	"45-54"	10
	"Stone County, MO"	"29209"	"55-64 years"	"55-64"	17
	"Stone County, MO"	"29209"	"65-74 years"	"65-74"	30
	"Taney County, MO"	"29213"	"45-54 years"	"45-54"	12
	"Taney County, MO"	"29213"	"55-64 years"	"55-64"	36
	"Taney County, MO"	"29213"	"65-74 years"	"65-74"	53
	"Texas County, MO"	"29215"	"55-64 years"	"55-64"	14
	"Texas County, MO"	"29215"	"65-74 years"	"65-74"	21
	"Vernon County, MO"	"29217"	"65-74 years"	"65-74"	28
	"Warren County, MO"	"29219"	"55-64 years"	"55-64"	15
	"Warren County, MO"	"29219"	"65-74 years"	"65-74"	23
	"Washington County, MO"	"29221"	"55-64 years"	"55-64"	19
	"Washington County, MO"	"29221"	"65-74 years"	"65-74"	12
	"Wayne County, MO"	"29223"	"55-64 years"	"55-64"	10
	"Webster County, MO"	"29225"	"55-64 years"	"55-64"	22
	"Webster County, MO"	"29225"	"65-74 years"	"65-74"	28
	"Wright County, MO"	"29229"	"55-64 years"	"55-64"	12
	"Wright County, MO"	"29229"	"65-74 years"	"65-74"	24
	"St. Louis city, MO"	"29510"	"35-44 years"	"35-44"	27
	"St. Louis city, MO"	"29510"	"45-54 years"	"45-54"	66
	"St. Louis city, MO"	"29510"	"55-64 years"	"55-64"	193
	"St. Louis city, MO"	"29510"	"65-74 years"	"65-74"	260
	"Carbon County, MT"	"30009"	"65-74 years"	"65-74"	10
	"Cascade County, MT"	"30013"	"55-64 years"	"55-64"	31
	"Cascade County, MT"	"30013"	"65-74 years"	"65-74"	50
	"Custer County, MT"	"30017"	"65-74 years"	"65-74"	11
	"Fergus County, MT"	"30027"	"65-74 years"	"65-74"	10
	"Flathead County, MT"	"30029"	"55-64 years"	"55-64"	40
	"Flathead County, MT"	"30029"	"65-74 years"	"65-74"	77
	"Gallatin County, MT"	"30031"	"55-64 years"	"55-64"	15
	"Gallatin County, MT"	"30031"	"65-74 years"	"65-74"	31
	"Glacier County, MT"	"30035"	"65-74 years"	"65-74"	17
	"Hill County, MT"	"30041"	"65-74 years"	"65-74"	19
	"Jefferson County, MT"	"30043"	"65-74 years"	"65-74"	10
	"Lake County, MT"	"30047"	"55-64 years"	"55-64"	10
	"Lake County, MT"	"30047"	"65-74 years"	"65-74"	22
	"Lewis and Clark County, MT"	"30049"	"55-64 years"	"55-64"	22
	"Lewis and Clark County, MT"	"30049"	"65-74 years"	"65-74"	37
	"Lincoln County, MT"	"30053"	"55-64 years"	"55-64"	20
	"Lincoln County, MT"	"30053"	"65-74 years"	"65-74"	26
	"Missoula County, MT"	"30063"	"55-64 years"	"55-64"	46
	"Missoula County, MT"	"30063"	"65-74 years"	"65-74"	60
	"Ravalli County, MT"	"30081"	"65-74 years"	"65-74"	26
	"Silver Bow County, MT"	"30093"	"55-64 years"	"55-64"	19
	"Silver Bow County, MT"	"30093"	"65-74 years"	"65-74"	31
	"Yellowstone County, MT"	"30111"	"35-44 years"	"35-44"	11
	"Yellowstone County, MT"	"30111"	"45-54 years"	"45-54"	22
	"Yellowstone County, MT"	"30111"	"55-64 years"	"55-64"	49
	"Yellowstone County, MT"	"30111"	"65-74 years"	"65-74"	87
	"Adams County, NE"	"31001"	"55-64 years"	"55-64"	13
	"Adams County, NE"	"31001"	"65-74 years"	"65-74"	18
	"Box Butte County, NE"	"31013"	"65-74 years"	"65-74"	12
	"Buffalo County, NE"	"31019"	"65-74 years"	"65-74"	31
	"Cass County, NE"	"31025"	"65-74 years"	"65-74"	14
	"Dakota County, NE"	"31043"	"55-64 years"	"55-64"	10
	"Dawson County, NE"	"31047"	"65-74 years"	"65-74"	10
	"Dodge County, NE"	"31053"	"55-64 years"	"55-64"	12
	"Dodge County, NE"	"31053"	"65-74 years"	"65-74"	23
	"Douglas County, NE"	"31055"	"35-44 years"	"35-44"	28
	"Douglas County, NE"	"31055"	"45-54 years"	"45-54"	67
	"Douglas County, NE"	"31055"	"55-64 years"	"55-64"	136
	"Douglas County, NE"	"31055"	"65-74 years"	"65-74"	213
	"Gage County, NE"	"31067"	"65-74 years"	"65-74"	14
	"Hall County, NE"	"31079"	"55-64 years"	"55-64"	11
	"Hall County, NE"	"31079"	"65-74 years"	"65-74"	19
	"Lancaster County, NE"	"31109"	"35-44 years"	"35-44"	12
	"Lancaster County, NE"	"31109"	"45-54 years"	"45-54"	37
	"Lancaster County, NE"	"31109"	"55-64 years"	"55-64"	52
	"Lancaster County, NE"	"31109"	"65-74 years"	"65-74"	122
	"Lincoln County, NE"	"31111"	"55-64 years"	"55-64"	16
	"Lincoln County, NE"	"31111"	"65-74 years"	"65-74"	30
	"Madison County, NE"	"31119"	"65-74 years"	"65-74"	28
	"Platte County, NE"	"31141"	"65-74 years"	"65-74"	12
	"Saline County, NE"	"31151"	"65-74 years"	"65-74"	13
	"Sarpy County, NE"	"31153"	"45-54 years"	"45-54"	16
	"Sarpy County, NE"	"31153"	"55-64 years"	"55-64"	30
	"Sarpy County, NE"	"31153"	"65-74 years"	"65-74"	71
	"Scotts Bluff County, NE"	"31157"	"65-74 years"	"65-74"	20
	"Seward County, NE"	"31159"	"65-74 years"	"65-74"	13
	"York County, NE"	"31185"	"65-74 years"	"65-74"	10
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	22
	"Clark County, NV"	"32003"	"35-44 years"	"35-44"	155
	"Clark County, NV"	"32003"	"45-54 years"	"45-54"	341
	"Clark County, NV"	"32003"	"55-64 years"	"55-64"	921
	"Clark County, NV"	"32003"	"65-74 years"	"65-74"	1601
	"Douglas County, NV"	"32005"	"55-64 years"	"55-64"	21
	"Douglas County, NV"	"32005"	"65-74 years"	"65-74"	28
	"Elko County, NV"	"32007"	"55-64 years"	"55-64"	13
	"Elko County, NV"	"32007"	"65-74 years"	"65-74"	43
	"Lyon County, NV"	"32019"	"55-64 years"	"55-64"	23
	"Lyon County, NV"	"32019"	"65-74 years"	"65-74"	53
	"Nye County, NV"	"32023"	"55-64 years"	"55-64"	35
	"Nye County, NV"	"32023"	"65-74 years"	"65-74"	79
	"Washoe County, NV"	"32031"	"35-44 years"	"35-44"	19
	"Washoe County, NV"	"32031"	"45-54 years"	"45-54"	59
	"Washoe County, NV"	"32031"	"55-64 years"	"55-64"	158
	"Washoe County, NV"	"32031"	"65-74 years"	"65-74"	290
	"Carson City, NV"	"32510"	"55-64 years"	"55-64"	26
	"Carson City, NV"	"32510"	"65-74 years"	"65-74"	50
	"Belknap County, NH"	"33001"	"55-64 years"	"55-64"	23
	"Belknap County, NH"	"33001"	"65-74 years"	"65-74"	39
	"Carroll County, NH"	"33003"	"55-64 years"	"55-64"	12
	"Carroll County, NH"	"33003"	"65-74 years"	"65-74"	30
	"Cheshire County, NH"	"33005"	"55-64 years"	"55-64"	23
	"Cheshire County, NH"	"33005"	"65-74 years"	"65-74"	38
	"Coos County, NH"	"33007"	"55-64 years"	"55-64"	10
	"Coos County, NH"	"33007"	"65-74 years"	"65-74"	31
	"Grafton County, NH"	"33009"	"55-64 years"	"55-64"	22
	"Grafton County, NH"	"33009"	"65-74 years"	"65-74"	53
	"Hillsborough County, NH"	"33011"	"35-44 years"	"35-44"	10
	"Hillsborough County, NH"	"33011"	"45-54 years"	"45-54"	39
	"Hillsborough County, NH"	"33011"	"55-64 years"	"55-64"	121
	"Hillsborough County, NH"	"33011"	"65-74 years"	"65-74"	200
	"Merrimack County, NH"	"33013"	"45-54 years"	"45-54"	14
	"Merrimack County, NH"	"33013"	"55-64 years"	"55-64"	46
	"Merrimack County, NH"	"33013"	"65-74 years"	"65-74"	85
	"Rockingham County, NH"	"33015"	"45-54 years"	"45-54"	25
	"Rockingham County, NH"	"33015"	"55-64 years"	"55-64"	85
	"Rockingham County, NH"	"33015"	"65-74 years"	"65-74"	151
	"Strafford County, NH"	"33017"	"45-54 years"	"45-54"	11
	"Strafford County, NH"	"33017"	"55-64 years"	"55-64"	40
	"Strafford County, NH"	"33017"	"65-74 years"	"65-74"	68
	"Sullivan County, NH"	"33019"	"55-64 years"	"55-64"	22
	"Sullivan County, NH"	"33019"	"65-74 years"	"65-74"	36
	"Atlantic County, NJ"	"34001"	"35-44 years"	"35-44"	13
	"Atlantic County, NJ"	"34001"	"45-54 years"	"45-54"	32
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	116
	"Atlantic County, NJ"	"34001"	"65-74 years"	"65-74"	167
	"Bergen County, NJ"	"34003"	"35-44 years"	"35-44"	24
	"Bergen County, NJ"	"34003"	"45-54 years"	"45-54"	57
	"Bergen County, NJ"	"34003"	"55-64 years"	"55-64"	149
	"Bergen County, NJ"	"34003"	"65-74 years"	"65-74"	307
	"Burlington County, NJ"	"34005"	"35-44 years"	"35-44"	23
	"Burlington County, NJ"	"34005"	"45-54 years"	"45-54"	51
	"Burlington County, NJ"	"34005"	"55-64 years"	"55-64"	116
	"Burlington County, NJ"	"34005"	"65-74 years"	"65-74"	212
	"Camden County, NJ"	"34007"	"35-44 years"	"35-44"	24
	"Camden County, NJ"	"34007"	"45-54 years"	"45-54"	75
	"Camden County, NJ"	"34007"	"55-64 years"	"55-64"	176
	"Camden County, NJ"	"34007"	"65-74 years"	"65-74"	274
	"Cape May County, NJ"	"34009"	"45-54 years"	"45-54"	13
	"Cape May County, NJ"	"34009"	"55-64 years"	"55-64"	35
	"Cape May County, NJ"	"34009"	"65-74 years"	"65-74"	75
	"Cumberland County, NJ"	"34011"	"45-54 years"	"45-54"	28
	"Cumberland County, NJ"	"34011"	"55-64 years"	"55-64"	65
	"Cumberland County, NJ"	"34011"	"65-74 years"	"65-74"	99
	"Essex County, NJ"	"34013"	"35-44 years"	"35-44"	42
	"Essex County, NJ"	"34013"	"45-54 years"	"45-54"	105
	"Essex County, NJ"	"34013"	"55-64 years"	"55-64"	249
	"Essex County, NJ"	"34013"	"65-74 years"	"65-74"	339
	"Gloucester County, NJ"	"34015"	"35-44 years"	"35-44"	17
	"Gloucester County, NJ"	"34015"	"45-54 years"	"45-54"	45
	"Gloucester County, NJ"	"34015"	"55-64 years"	"55-64"	89
	"Gloucester County, NJ"	"34015"	"65-74 years"	"65-74"	150
	"Hudson County, NJ"	"34017"	"35-44 years"	"35-44"	21
	"Hudson County, NJ"	"34017"	"45-54 years"	"45-54"	62
	"Hudson County, NJ"	"34017"	"55-64 years"	"55-64"	162
	"Hudson County, NJ"	"34017"	"65-74 years"	"65-74"	234
	"Hunterdon County, NJ"	"34019"	"45-54 years"	"45-54"	13
	"Hunterdon County, NJ"	"34019"	"55-64 years"	"55-64"	24
	"Hunterdon County, NJ"	"34019"	"65-74 years"	"65-74"	36
	"Mercer County, NJ"	"34021"	"35-44 years"	"35-44"	21
	"Mercer County, NJ"	"34021"	"45-54 years"	"45-54"	45
	"Mercer County, NJ"	"34021"	"55-64 years"	"55-64"	138
	"Mercer County, NJ"	"34021"	"65-74 years"	"65-74"	184
	"Middlesex County, NJ"	"34023"	"35-44 years"	"35-44"	20
	"Middlesex County, NJ"	"34023"	"45-54 years"	"45-54"	64
	"Middlesex County, NJ"	"34023"	"55-64 years"	"55-64"	188
	"Middlesex County, NJ"	"34023"	"65-74 years"	"65-74"	323
	"Monmouth County, NJ"	"34025"	"35-44 years"	"35-44"	21
	"Monmouth County, NJ"	"34025"	"45-54 years"	"45-54"	57
	"Monmouth County, NJ"	"34025"	"55-64 years"	"55-64"	171
	"Monmouth County, NJ"	"34025"	"65-74 years"	"65-74"	275
	"Morris County, NJ"	"34027"	"45-54 years"	"45-54"	33
	"Morris County, NJ"	"34027"	"55-64 years"	"55-64"	86
	"Morris County, NJ"	"34027"	"65-74 years"	"65-74"	194
	"Ocean County, NJ"	"34029"	"35-44 years"	"35-44"	11
	"Ocean County, NJ"	"34029"	"45-54 years"	"45-54"	41
	"Ocean County, NJ"	"34029"	"55-64 years"	"55-64"	182
	"Ocean County, NJ"	"34029"	"65-74 years"	"65-74"	438
	"Passaic County, NJ"	"34031"	"35-44 years"	"35-44"	28
	"Passaic County, NJ"	"34031"	"45-54 years"	"45-54"	50
	"Passaic County, NJ"	"34031"	"55-64 years"	"55-64"	115
	"Passaic County, NJ"	"34031"	"65-74 years"	"65-74"	204
	"Salem County, NJ"	"34033"	"45-54 years"	"45-54"	16
	"Salem County, NJ"	"34033"	"55-64 years"	"55-64"	30
	"Salem County, NJ"	"34033"	"65-74 years"	"65-74"	55
	"Somerset County, NJ"	"34035"	"45-54 years"	"45-54"	29
	"Somerset County, NJ"	"34035"	"55-64 years"	"55-64"	69
	"Somerset County, NJ"	"34035"	"65-74 years"	"65-74"	87
	"Sussex County, NJ"	"34037"	"45-54 years"	"45-54"	18
	"Sussex County, NJ"	"34037"	"55-64 years"	"55-64"	47
	"Sussex County, NJ"	"34037"	"65-74 years"	"65-74"	72
	"Union County, NJ"	"34039"	"35-44 years"	"35-44"	22
	"Union County, NJ"	"34039"	"45-54 years"	"45-54"	50
	"Union County, NJ"	"34039"	"55-64 years"	"55-64"	145
	"Union County, NJ"	"34039"	"65-74 years"	"65-74"	214
